books_id;book_id;avg_rating
1;1;4,54
2;2;4,46
3;3;4,44
5;5;4,53
6;6;4,53
8;8;4,77
10;10;4,73
21;21;4,19
24;24;4,05
25;25;3,89
28;28;3,91
29;29;3,95
67;67;3,82
93;93;3,97
98;98;3,86
106;106;3,86
112;112;3,90
119;119;4,59
122;122;4,34
249;249;3,71
250;250;3,85
264;264;3,76
291;291;3,93
304;304;3,82
320;320;4,04
343;343;4,00
348;348;4,00
350;350;3,91
353;353;3,96
355;355;3,77
357;357;4,05
360;360;3,96
365;365;3,97
378;378;4,22
386;386;3,77
400;400;3,98
415;415;4,03
424;424;4,24
428;428;3,86
446;446;3,81
449;449;3,66
456;456;3,95
475;475;3,92
597;597;3,85
599;599;3,75
621;621;3,90
629;629;3,76
647;647;3,86
656;656;4,11
662;662;3,68
665;665;3,47
667;667;3,62
668;668;3,89
676;676;4,24
698;698;3,53
703;703;3,71
706;706;4,02
760;760;3,59
771;771;4,06
816;816;4,25
823;823;3,92
827;827;4,19
830;830;4,02
840;840;4,18
865;865;3,82
890;890;3,84
900;900;3,73
902;902;4,03
903;903;3,81
952;952;4,21
976;976;3,67
998;998;4,00
1005;1005;4,17
1032;1032;3,66
1052;1052;4,23
1067;1067;4,06
1078;1078;3,97
1097;1097;3,73
1103;1103;4,05
1110;1110;3,77
1171;1171;4,16
1191;1191;3,99
1192;1192;3,97
1202;1202;3,93
1232;1232;4,24
1241;1241;3,62
1274;1274;3,52
1301;1301;4,24
1303;1303;4,18
1319;1319;4,07
1362;1362;3,97
1371;1371;3,83
1375;1375;0,00
1381;1381;3,73
1420;1420;4,00
1426;1426;3,69
1427;1427;3,56
1428;1428;3,57
1430;1430;3,69
1431;1431;3,69
1519;1519;3,99
1524;1524;3,82
1540;1540;3,96
1554;1554;3,67
1591;1591;3,84
1617;1617;4,30
1618;1618;3,85
1622;1622;3,94
1624;1624;4,18
1625;1625;0,00
1627;1627;3,93
1633;1633;3,98
1715;1715;4,03
1823;1823;3,94
1824;1824;3,58
1842;1842;4,00
1846;1846;3,93
1848;1848;4,23
1869;1869;3,60
1875;1875;4,03
1897;1897;3,97
1898;1898;4,11
1911;1911;3,66
1934;1934;4,04
1953;1953;3,81
1990;1990;3,82
2002;2002;4,40
2049;2049;4,08
2052;2052;4,04
2054;2054;4,23
2094;2094;4,19
2095;2095;4,13
2122;2122;3,85
2137;2137;3,89
2142;2142;4,17
2159;2159;3,83
2165;2165;3,73
2175;2175;3,64
2183;2183;3,83
2187;2187;3,98
2199;2199;4,30
2203;2203;4,05
2255;2255;4,13
2265;2265;3,72
2279;2279;4,15
2368;2368;4,10
2371;2371;4,11
2372;2372;4,19
2373;2373;4,18
2517;2517;3,83
2526;2526;4,08
2528;2528;3,88
2530;2530;3,90
2547;2547;4,22
2615;2615;4,00
2623;2623;3,75
2657;2657;4,25
2666;2666;3,81
2677;2677;4,04
2696;2696;3,48
2715;2715;3,73
2743;2743;4,08
2744;2744;4,00
2748;2748;3,88
2767;2767;4,07
2784;2784;3,75
2794;2794;3,70
2839;2839;3,98
2865;2865;3,85
2932;2932;3,66
2978;2978;3,90
2998;2998;4,12
3008;3008;4,20
3028;3028;4,22
3049;3049;3,68
3061;3061;3,88
3087;3087;3,91
3102;3102;3,95
3109;3109;4,17
3110;3110;3,98
3273;3273;4,15
3291;3291;3,96
3300;3300;3,90
3368;3368;4,24
3379;3379;3,69
3381;3381;3,72
3384;3384;3,61
3388;3388;3,95
