goodreads_book_id;tag_id;Total
1;11305;37174
1;11743;9954
1;33114;12716
2;6857;1591
2;6888;1098
2;11305;3441
3;11305;47478
3;11743;13239
3;33114;14984
5;11305;39330
5;11743;10656
5;33114;12856
6;11305;38378
6;11743;10249
6;33114;12979
8;11305;104
8;14017;54
8;33114;34
10;11305;253
10;11743;84
10;14017;79
21;14552;3160
21;21689;1121
21;21773;1845
24;21689;1971
24;21773;702
24;31155;2312
25;15048;603
25;19733;354
25;21773;540
28;21689;2006
28;21773;653
28;31155;2191
29;15048;170
29;21689;410
29;21773;167
67;11743;212
67;14487;682
67;24609;310
93;6953;911
93;7457;2886
93;11743;858
98;3739;87
98;21773;118
98;23005;208
106;11305;620
106;11743;1080
106;26837;607
112;11743;887
112;26771;2136
112;26837;2762
119;2938;66
119;11305;89
119;30909;47
122;1746;271
122;11743;1102
122;14487;465
249;7457;226
249;11743;271
249;22743;68
250;7457;150
250;11743;363
250;18367;82
264;7404;391
264;7457;2632
264;11743;1053
291;18367;38
291;22034;50
291;23831;63
304;7404;122
304;7457;830
304;11743;349
320;7457;5578
320;18367;1174
320;22743;1207
343;7457;1307
343;11743;2637
343;14487;1473
348;11743;204
348;26771;475
348;26837;764
350;11743;2069
350;26771;3641
350;26837;4665
353;11743;252
353;26771;544
353;26837;931
355;11743;240
355;26771;326
355;26837;484
357;11305;1018
357;11743;1074
357;26837;924
360;11743;1318
360;26771;2060
360;26837;2434
365;11743;452
365;26771;422
365;26837;489
378;6953;1441
378;11305;2880
378;11743;1777
386;19733;280
386;21689;182
386;21773;99
400;240;61
400;11743;407
400;14487;128
415;11743;378
415;22743;216
415;26837;234
424;10891;188
424;21689;246
424;21773;482
428;240;57
428;7457;123
428;22034;71
446;2277;55
446;8055;57
446;11743;406
449;236;64
449;240;95
449;11743;272
456;2277;42
456;11743;261
456;18367;41
475;14552;560
475;21689;575
475;21773;230
597;20673;304
597;21689;416
597;21773;163
599;10891;473
599;21689;1229
599;21773;544
621;11937;146
621;21689;115
621;23339;84
629;11743;1374
629;21689;1196
629;23471;2932
647;21689;973
647;21773;238
647;23931;417
656;7457;7569
656;11743;3173
656;14487;1366
662;7457;3165
662;11743;4365
662;23471;1698
665;21689;206
665;21773;71
665;23471;537
667;10059;679
667;11743;1934
667;23471;723
668;7457;291
668;22743;107
668;23471;231
676;21689;19
676;22743;34
676;23831;1355
698;1629;66
698;4949;161
698;11743;454
703;2173;203
703;11743;431
703;14487;371
706;15048;1583
706;21689;874
706;23931;559
760;7457;143
760;11743;812
760;18367;148
771;21773;484
771;23569;741
771;26816;2944
816;11743;1892
816;26771;1184
816;26837;1536
823;11743;856
823;14487;806
823;26837;412
827;11743;1015
827;26771;1470
827;26837;1963
830;11743;2190
830;26771;3277
830;26837;3911
840;9318;615
840;21689;328
840;31678;142
865;7457;3089
865;11305;2297
865;11743;9712
890;7404;3446
890;7457;19214
890;11743;9439
900;21689;418
900;21773;94
900;24526;142
902;11743;1173
902;20939;2666
902;33114;1416
903;6953;253
903;11743;280
903;33114;261
952;7077;61
952;21689;98
952;23005;250
976;11743;3201
976;20939;1594
976;30358;2273
998;5951;513
998;11937;536
998;21689;602
1005;11937;279
1005;21773;153
1005;23334;376
1032;4605;89
1032;5951;222
1032;21689;94
1052;5951;496
1052;11937;424
1052;21689;287
1067;14552;4413
1067;21689;1886
1067;21773;806
1078;4949;421
1078;7009;694
1078;18367;349
1097;12175;1229
1097;21689;3640
1097;21773;1548
1103;4949;1526
1103;11743;2442
1103;14487;3432
1110;16518;683
1110;20939;300
1110;30358;375
1171;5951;280
1171;11937;243
1171;21689;238
1191;8150;335
1191;8209;110
1191;12175;39
1192;8150;622
1192;8209;233
1192;12175;90
1202;21689;623
1202;21773;2959
1202;26816;878
1232;11743;4560
1232;14487;2973
1232;20939;2613
1241;4605;282
1241;4949;256
1241;21689;717
1274;21689;1038
1274;24526;542
1274;27095;736
1301;21689;397
1301;21773;201
1301;28422;349
1303;5951;485
1303;21689;591
1303;24526;397
1319;8491;337
1319;27095;366
1319;32865;636
1362;7457;911
1362;14552;1900
1362;21689;514
1371;7457;8814
1371;11743;2132
1371;23831;2823
1375;7457;1055
1375;11743;281
1375;23831;247
1381;7457;14238
1381;11743;3670
1381;23831;3418
1420;7457;13787
1420;11743;3145
1420;23743;6984
1426;23471;128
1426;28341;75
1426;28384;97
1427;11743;146
1427;22034;117
1427;23471;121
1428;11743;644
1428;23150;370
1428;26138;183
1430;11743;877
1430;23150;507
1430;26138;248
1431;21989;195
1431;22034;233
1431;22743;325
1519;7457;1077
1519;9886;435
1519;23743;736
1524;7457;335
1524;9886;124
1524;23743;270
1540;7457;1415
1540;9886;494
1540;23743;869
1554;9886;823
1554;11743;716
1554;26735;609
1591;7563;410
1591;9886;283
1591;11743;194
1617;7457;3905
1617;14552;2936
1617;21689;5705
1618;11743;1099
1618;22743;291
